Model,Test R2,Test MAE,Test RMSE
Linear Regression,0.7761108111385338,38.01980585222485,46.54029811570096
Ridge Regression,0.7761108116673,38.01980450582891,46.540298060743105
Random Forest,-6.944692646522986,259.2024572132206,277.23697379969195
"ARIMA(1, 1, 0) rolling",0.5465500295328123,55.18003948181866,66.23343642497237
