Date,Close,High,Low,Open,Volume
2021-06-15,553.8714599609375,553.8714599609375,551.1430291236916,552.0525060694401,26012250
2021-06-16,550.2335205078125,552.9619511880165,550.2335205078125,552.9619511880165,25856919
2021-06-17,553.4298706054688,553.4298706054688,546.1238657129874,548.8636175476679,22872361
2021-06-18,550.6901245117188,555.2563776171227,548.8636232695571,555.2563776171227,32652017
2021-06-21,532.4252319335938,542.4709910266804,532.4252319335938,538.8179877201035,44279632
2021-06-22,527.8587036132812,536.9912071360025,527.8587036132812,534.251456079186,27823974
2021-06-23,543.3841552734375,546.123907316833,530.5986457375919,532.4251470998555,34392376
2021-06-24,538.8177490234375,546.1237524000264,536.9912481792902,546.1237524000264,16524230
2021-06-25,539.7310791015625,546.1238329995505,537.9045779878516,546.1238329995505,18841696
2021-06-28,538.8177490234375,538.8177490234375,535.164747335143,538.8177490234375,15028407
2021-06-29,543.3841552734375,546.123907316833,539.7311525489101,546.123907316833,28659610
2021-06-30,543.3841552734375,547.0371579979648,543.3841552734375,547.0371579979648,24883853
2021-07-01,541.5574951171875,545.2104967705918,539.7309942904853,544.2972463572407,18250994
2021-07-02,536.9913330078125,541.5575858395116,536.0780824414727,538.8178341404921,18322419
2021-07-05,539.7310791015625,545.2105824426951,536.9913274309962,536.9913274309962,28836816
2021-07-06,540.6442260742188,544.2972276017473,537.9044749285723,543.3839772198651,12997112
2021-07-07,542.4707641601562,542.4707641601562,536.9912614918719,538.8177623813,16966158
2021-07-08,536.9913330078125,543.3840869721912,536.9913330078125,543.3840869721912,21140426
2021-07-09,533.3383178710938,534.2515684153936,529.6853156938945,531.5118167824942,29029415
2021-07-12,541.5574951171875,545.2104967705918,538.8177438771343,543.3839959438897,31304547
2021-07-13,554.3431396484375,555.2563902903624,547.037134513038,547.9503851549629,52540315
2021-07-14,559.82275390625,561.6492555503161,555.2564997960848,559.82275390625,38418875
2021-07-15,560.7357177734375,560.7357177734375,555.2562156453582,559.8224674187576,22012834
2021-07-16,537.9046020507812,543.3841056370371,536.991351453072,539.7311032461998,57970545
2021-07-19,531.5117797851562,533.3382807466173,527.8587778622342,532.4250302658868,40644341
2021-07-20,530.5985107421875,533.3382620885327,528.7720098446241,528.7720098446241,15354333
2021-07-21,534.2516479492188,535.1648986294739,529.6853945479434,535.1648986294739,25828732
2021-07-22,539.7310791015625,542.4708307721288,536.0780768741407,537.9045779878516,26058172
2021-07-23,534.2516479492188,540.6444027110043,532.4251465887086,540.6444027110043,15271451
2021-07-26,529.685302734375,539.7310584758891,529.685302734375,539.7310584758891,21619179
2021-07-27,529.685302734375,533.3383048221983,529.685302734375,530.5985532563309,17785992
2021-07-28,528.7721557617188,528.7721557617188,523.2926515569342,526.0324036593264,36158305
2021-07-29,532.4252319335938,534.2517335868822,526.9457269737283,534.2517335868822,23224896
